"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/30/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/31/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/01/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/02/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/03/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/04/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/05/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/06/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/07/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","15","63.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/08/2022","AQS","480291069","1","0.8","ppm","9","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/09/2022","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/10/2022","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/11/2022","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/12/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/13/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/14/2022","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/15/2022","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/16/2022","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/17/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/18/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/19/2022","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/20/2022","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
